Time,OrderType,Direction,Price,Volume
2,4,1,585.3376210082616,44.0
7,1,1,585.2658210080415,1.0
10,1,1,585.0806862680818,1.0
11,1,1,585.4001750254284,1.0
13,3,1,585.4001750254284,0.0
14,4,-1,585.3776534918844,64.0
16,1,-1,585.6291763763556,98.0
17,1,-1,585.3443519016668,187.0
20,4,-1,585.4669846521174,64.0
22,1,-1,585.5849041500605,81.0
23,1,-1,585.7089217773874,142.0
33,1,-1,585.1729404488666,6.0
35,4,-1,584.8717050878732,63.0
36,3,1,584.8717050878732,0.0
38,1,-1,584.7015736239239,128.0
42,1,-1,584.7369679873059,76.0
43,4,1,585.0562690540844,30.0
45,1,1,584.58683604699,1.0
46,4,-1,584.3732641923186,8.0
47,3,1,584.3732641923186,0.0
50,1,-1,584.408638681796,56.0
51,1,-1,584.1951319294147,21.0
54,4,-1,583.9612425813885,117.0
55,3,-1,583.9612425813885,0.0
58,1,-1,584.0788588062973,34.0
59,4,1,584.0068152502214,148.0
66,1,-1,584.0324396582107,74.0
67,1,-1,583.8275018370621,5.0
69,1,-1,583.8673541802908,101.0
74,3,-1,583.8673541802908,0.0
77,1,-1,583.7410619914433,148.0
78,1,-1,583.7809084342471,13.0
84,1,-1,583.1817618497317,3.0
85,4,-1,582.9364868366741,269.0
90,4,-1,583.3049065982574,413.0
91,3,-1,583.3049065982574,0.0
92,1,1,582.8533452160235,1.0
93,3,-1,582.8533452160235,0.0
96,1,-1,582.6340793195685,22.0
97,1,-1,583.3918801020204,65.0
98,1,-1,583.1423445982933,42.0
99,1,-1,583.0734654429598,36.0
100,3,1,583.0734654429598,0.0
101,4,-1,583.129302497729,123.0
103,3,-1,583.129302497729,0.0
104,1,-1,583.2884599455049,67.0
105,1,-1,583.5934814313244,184.0
108,1,-1,583.3667514679378,26.0
109,4,-1,583.2482942479679,27.0
110,3,-1,583.2482942479679,0.0
114,4,1,583.4021674491785,4.0
115,1,-1,582.9401832288288,21.0
118,4,-1,583.2701295036813,21.0
119,4,1,583.0089944427428,7.0
121,1,-1,583.0648253235546,35.0
124,4,1,582.9765101377138,27.0
127,3,-1,582.9765101377138,0.0
129,3,-1,582.9765101377138,0.0
131,1,-1,583.2560672466012,233.0
132,1,-1,583.4129404913369,64.0
133,1,-1,582.857565243235,140.0
134,4,-1,583.2661235004891,25.0
135,4,-1,583.046702319345,69.0
137,1,-1,582.7908640879975,6.0
138,1,-1,582.653220845612,41.0
139,1,-1,583.1810292599803,41.0
141,4,1,583.0838926517758,290.0
143,4,-1,583.4452446984201,76.0
144,3,-1,583.4452446984201,0.0
145,1,1,584.0269635518927,1.0
148,4,1,584.2261406298746,1.0
149,1,-1,584.4478922667481,150.0
151,1,-1,584.2139017231672,85.0
153,4,1,584.0284323872568,225.0
156,3,-1,584.0284323872568,0.0
158,1,-1,584.0252167510446,188.0
166,4,1,584.3184688792463,7.0
172,3,1,584.3184688792463,0.0
174,1,-1,583.847092320105,92.0
175,3,-1,583.847092320105,0.0
179,1,-1,583.6938929169249,212.0
181,1,-1,583.9640067870293,11.0
182,4,-1,584.0964684051776,27.0
185,1,-1,583.9100749099509,13.0
186,4,-1,583.6692045663185,6.0
188,1,-1,583.7492571323603,11.0
190,1,-1,583.645649712334,135.0
191,4,-1,583.8239204173481,12.0
192,1,-1,583.7502340319768,67.0
195,3,-1,583.7502340319768,0.0
196,1,-1,583.4394827350604,79.0
197,1,-1,583.8187798727364,35.0
199,1,-1,583.8371998241414,31.0
202,4,1,584.5241825260088,5.0
204,4,-1,584.6931783990681,117.0
205,1,-1,584.5417451322118,49.0
206,1,-1,584.2369690441036,160.0
208,1,-1,583.8807255677207,161.0
213,3,-1,583.8807255677207,0.0
216,1,-1,583.9160702418327,27.0
217,1,-1,583.6559591136394,49.0
223,1,-1,583.4431787358461,30.0
224,4,-1,583.2304759302741,18.0
229,4,-1,582.7857067977684,53.0
230,3,-1,582.7857067977684,0.0
231,1,1,582.5948670341994,1.0
232,3,-1,582.5948670341994,0.0
235,1,-1,582.2417870212226,39.0
236,1,-1,582.1788989842277,45.0
237,1,-1,582.2131282729795,80.0
238,1,-1,582.1518741477797,91.0
239,3,1,582.1518741477797,0.0
240,4,-1,581.9692545276108,196.0
242,3,-1,581.9692545276108,0.0
243,1,-1,582.0864695441895,140.0
244,1,-1,581.9731553718948,40.0
247,1,-1,581.7283886754359,72.0
248,4,-1,581.84718947608,304.0
249,3,-1,581.84718947608,0.0
253,4,1,581.9033119842231,308.0
254,1,-1,581.6968308606117,76.0
257,4,-1,581.6408366468282,34.0
258,4,1,581.0626164828748,8.0
260,1,-1,580.8935930325548,32.0
263,4,1,581.2093586604524,32.0
266,3,-1,581.2093586604524,0.0
268,3,-1,581.2093586604524,0.0
270,1,-1,580.9225437446556,97.0
271,1,-1,580.9326013578536,32.0
272,1,-1,580.8122081673046,171.0
273,4,-1,580.7384534214766,6.0
274,4,-1,580.7485078474867,9.0
276,1,-1,580.7762908055444,149.0
277,1,-1,580.2007703996094,45.0
278,1,-1,580.3276182400335,2.0
280,4,1,580.274995109903,141.0
282,4,-1,580.2866226123776,5.0
283,3,-1,580.2866226123776,0.0
284,1,1,580.353504416846,1.0
287,4,1,580.086917434706,45.0
288,1,-1,580.1146687423359,140.0
290,1,-1,579.9624487138449,21.0
292,4,1,580.1952792309098,8.0
295,3,-1,580.1952792309098,0.0
297,1,-1,580.3364018446672,61.0
305,4,1,580.2950041116042,11.0
311,3,1,580.2950041116042,0.0
313,1,-1,580.3133128850538,233.0
314,3,-1,580.3133128850538,0.0
318,1,-1,580.5831253104536,131.0
320,1,-1,580.2312645080023,63.0
321,4,-1,580.3130053296798,63.0
324,1,-1,580.8153581346085,56.0
325,4,-1,581.1341684353424,3.0
327,1,-1,581.3158790440359,66.0
329,1,-1,581.178584162849,29.0
330,4,-1,580.9662574725078,14.0
331,1,-1,580.5251044116566,81.0
334,3,-1,580.5251044116566,0.0
335,1,-1,580.436343343012,16.0
336,1,-1,580.5477522862492,63.0
338,1,-1,580.8868309361382,131.0
341,4,1,580.7250629602627,63.0
343,4,-1,580.5561376998097,39.0
344,1,-1,580.805588893378,22.0
345,1,-1,580.8420919849003,75.0
347,1,-1,581.0899882805381,20.0
352,3,-1,581.0899882805381,0.0
355,1,-1,581.013296686857,64.0
356,1,-1,580.8618249338191,73.0
362,1,-1,580.7683901311423,97.0
363,4,-1,580.5178200103661,50.0
368,4,-1,580.5392633412055,4.0
369,3,-1,580.5392633412055,0.0
370,1,1,580.8548363604414,1.0
371,3,-1,580.8548363604414,0.0
374,1,-1,580.3692111360352,142.0
375,1,-1,580.6112514451503,11.0
376,1,-1,580.5887630920267,75.0
377,1,-1,580.3523270889441,315.0
378,3,1,580.3523270889441,0.0
379,4,-1,580.6630541760642,40.0
381,3,-1,580.6630541760642,0.0
382,1,-1,580.1553739916822,7.0
383,1,-1,580.2823012165852,38.0
386,1,-1,580.2595710138344,91.0
387,4,-1,579.9834578792548,22.0
388,3,-1,579.9834578792548,0.0
392,4,1,579.841255150058,10.0
393,1,-1,580.1285529947463,160.0
396,4,-1,580.305032925176,5.0
397,4,1,580.4088058133373,290.0
399,1,-1,580.0875375753295,6.0
402,4,1,580.4482574585154,222.0
405,3,-1,580.4482574585154,0.0
407,3,-1,580.4482574585154,0.0
409,1,-1,580.4759387360566,56.0
410,1,-1,580.4214610679055,264.0
411,1,-1,580.5245788746743,148.0
412,4,-1,580.2333561527741,68.0
413,4,-1,579.9571604066791,38.0
415,1,-1,579.7611909183744,127.0
416,1,-1,579.7636488333438,71.0
417,1,-1,579.5950032355784,108.0
419,4,1,579.5178439422543,26.0
421,4,-1,579.7367715918195,37.0
422,3,-1,579.7367715918195,0.0
423,1,1,579.8380952309824,1.0
